"Station","Province","Lat","Lon","Depth (m)","StationOwner"
"Mzimvubu","EC","-31.5952","29.52911","1.5","ATAP/OTN"
"PSJ001","EC","-31.61576","29.59354","27.7","ATAP/OTN"
"GG001","EC","-31.29288","30.01762","18","ATAP/OTN"
"PSJ002","EC","-31.62011","29.60016","32.8","ATAP/OTN"
"PSJ003","EC","-31.62443","29.60723","41.3","ATAP/OTN"
"PSJ004","EC","-31.6287","29.61341","54.2","ATAP/OTN"
"PSJ005","EC","-31.6333","29.62008","71.7","ATAP/OTN"
"Dharb","KZN","-29.864667","31.057183","9","ATAP/OTN"
"MB003","WC","-34.09315","22.198683","28.5","ATAP/OTN"
"MB002","WC","-34.086833","22.194817","24","ATAP/OTN"
"MB004","WC","-34.0998","22.202667","32","ATAP/OTN"
"MB001","WC","-34.0806","22.190533","16.8","ATAP/OTN"
"MB006","WC","-34.112417","22.210933","37","ATAP/OTN"
"MB005","WC","-34.106383","22.206583","35","ATAP/OTN"
"MB007","WC","-34.119133","22.215017","40","ATAP/OTN"
"CSB003","WC","-34.19325","22.188183","44.4","ATAP/OTN"
"Ifafa","KZN","-30.465783","30.659333","18","KZNSB"
"Umtentweni","KZN","-30.712667","30.489233","17","KZNSB"
"GB003","WC","-34.079","22.2513","","ATAP/OTN"
"GB002","WC","-34.072967","22.246833","37","ATAP/OTN"
"CSB002","WC","-34.188067","22.182083","35","ATAP/OTN"
"GB001","WC","-34.066567","22.242067","19.5","ATAP/OTN"
"CSB001","WC","-34.182233","22.175367","25.3","ATAP/OTN"
"PLB004","EC","-33.99025","23.57205","22","ATAP/OTN"
"DH001","WC","-34.43086","20.88448","27.6","Cape Nature"
"PLB001","EC","-34.08705","23.401067","17","ATAP/OTN"
"PLB002","EC","-34.053683","23.396617","22","ATAP/OTN"
"PLB003","EC","-34.014033","23.445683","22","Cape Nature"
"Seal Island MB","WC","-34.1509833","22.11875","6.6","Oceans Research"
"Cape Recife Offshore 1","EC","-34.03411","25.72771","30","ATAP/OTN"
"Mzamba","KZN","-31.092617","30.195033","15","KZNSB"
"St Croix_ATAP","EC","-33.82751","25.75143","0","ATAP/OTN"
"Woody Cape Offshore 1","EC","-33.75607","26.22909","","ATAP/OTN"
"AB004","EC","-33.80161","26.31643","29","ATAP/OTN"
"AB005","EC","-33.80974","26.31633","27","ATAP/OTN"
"Bird Island 1","EC","-33.81273","26.31346","","ATAP/OTN"
"PA001","EC","-33.58778","26.99384","31","ATAP/OTN"
"PA003","EC","-33.59972","26.99986","39.9","ATAP/OTN"
"GSB002","WC","-34.7042","19.40506","28.8","ATAP/OTN"
"AB002","EC","-33.78538","26.31409","20","ATAP/OTN"
"AB007","EC","-33.82578","26.31648","28","ATAP/OTN"
"AB001","EC","-33.77736","26.31286","20","ATAP/OTN"
"AB003","EC","-33.79314","26.31528","25","ATAP/OTN"
"BR002","KZN","-29.907867","31.050767","25.9","ATAP/OTN"
"Park Ryn","KZN","-30.3392","30.74","18","KZNSB"
"UM001","KZN","-29.64118333","31.1455","20","KZNSB"
"Central 60m","EC","-33.88195","25.98585","60","ATAP/OTN"
"PR001","KZN","-30.822033","30.413017","19.2","KZNSB"
"GSB001","WC","-34.69714","19.40543","21.3","ATAP/OTN"
"PA002","EC","-33.59359","26.99729","34.4","ATAP/OTN"
"Coega","EC","-33.80017","25.69835","4","ATAP/OTN"
"WB001","WC","-34.41953","19.25393","24","ATAP/OTN"
"WB002","WC","-34.42059","19.24751","24","ATAP/OTN"
"WB004","WC","-34.43622","19.22757","27","ATAP/OTN"
"BRD004","WC","-34.4239","20.88554","0","ATAP/OTN"
"Breede","WC","-34.39735","20.83526","1.5","ATAP/OTN"
"BRE00","WC","-34.40792","20.84281","0","ATAP/OTN"
"CP001","WC","-34.3355","18.48023","32","ATAP/OTN"
"CP002","WC","-34.33209","18.48548","50","ATAP/OTN"
"Sundays Offshore 1","EC","-33.76546","25.89722","","ATAP/OTN"
"Woody Cape West","EC","-33.7358","26.05983","","ATAP/OTN"
"AB006","EC","-33.81775","26.31649","31","ATAP/OTN"
"KM002","EC","-32.708083","28.391333","44.1","ATAP/OTN"
"KM003","EC","-32.711","28.397972","40.9","ATAP/OTN"
"KAN001","WC","-34.35113","21.921033","30","ATAP/OTN"
"KM001","EC","-32.704722","28.384833","30.8","ATAP/OTN"
"BR001","KZN","-29.905283","31.046133","14.8","ATAP/OTN"
"BRD002","WC","-34.40284","20.88126","0","ATAP/OTN"
"BRD003","WC","-34.41353","20.8742","0","ATAP/OTN"
"BRD001","WC","-34.40063","20.87326","0","ATAP/OTN"
"St Croix","EC","-33.798933","25.773517","23","Bayworld"
"Darwin Reef MB","WC","-34.1774833","22.1571333","0","Oceans Research"
"Mitch Reef MB","WC","-34.1697667","22.1351","0","Oceans Research"
"Harbour MB","WC","-34.1782667","22.1455333","0","Oceans Research"
"Kowie","EC","-33.59969","26.89424","1.5","ATAP/OTN"
"Roman's Reef MB","WC","-34.164883","22.1241167","4","Oceans Research"